IDENTIFICACION,IDENTIFICACION TAXONOMICA,NOMBRE CIENTIFICO,CLASIFICACION SUPERIOR,REINO,FILO,CLASE,ORDEN,FAMILIA,GENERO,EPITETO ESPECIFICO,RANGO DE TAXON,NOMBRE VERNACULO,CODIGO NOMENCLATURA,ESTADO TAXONOMICO,TAXON OBSERVACIONES,LENGUAJE,ESTADO DE AMENAZA,MCA1,MCA2,MCA3,Cluster
gbif.org/species/3548724,gbif.org/species/3548724,Arthonia obscurella,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Arthoniaceae | Arthonia,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,obscurella,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Arthonia obscurella | Nuevo taxón incluido,es,CR,4.377573983212528,1.8926569569503382,1.240007963707073,2
gbif.org/species/3548779,gbif.org/species/3548779,Arthonia septemlocularis,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Arthoniaceae | Arthonia,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,septemlocularis,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Arthonia septemlocularis | Nuevo taxón incluido,es,CR,4.377573983212528,1.8926569569503382,1.240007963707073,2
gbif.org/species/10800176,gbif.org/species/10800176,Ancistrosporella leucophila,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Ancistrosporella,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Ancistrosporella,leucophila,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ancistrosporella leucophila | Nuevo taxón incluido,es,CR,4.377545680424808,1.8926789260419374,1.2394694214001025,2
gbif.org/species/10874088,gbif.org/species/10874088,Byssoloma permutans,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Byssoloma,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Byssoloma,permutans,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Byssoloma permutans | Nuevo taxón incluido,es,CR,4.353702218467092,1.8047948300350576,1.0278770784169948,2
gbif.org/species/5516240,gbif.org/species/5516240,Lecanactis proximans,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Lecanactis,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Lecanactis,proximans,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lecanactis proximans | Nuevo taxón incluido,es,CR,4.3775456400176465,1.892678818104206,1.2394695753458502,2
gbif.org/species/8654330,gbif.org/species/8654330,Schismatomma leucopsarum,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Schismatomma,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Schismatomma,leucopsarum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Schismatomma leucopsarum | Nuevo taxón incluido,es,CR,4.377545687627987,1.8926788978827254,1.2394698135420454,2
gbif.org/species/10706304,gbif.org/species/10706304,Bogoriella apposita,Fungi | Ascomycota | Dothideomycetes | Trypetheliales | Trypetheliaceae | Bogoriella,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae,Bogoriella,apposita,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Bogoriella apposita | Nuevo taxón incluido,es,VU,4.2105303971653125,2.1176769333722287,0.9736056684140728,2
gbif.org/species/3396450,gbif.org/species/3396450,Bacidia proposita,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Bacidia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia,proposita,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Bacidia proposita | Nuevo taxón incluido,es,CR,4.353641822673693,1.8050342339909407,1.0274293195572273,2
gbif.org/species/8394955,gbif.org/species/8394955,Badimia vezdana,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Badimia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Badimia,vezdana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Badimia vezdana | Nuevo taxón incluido,es,CR,4.3536417661501,1.8050341646824448,1.0274290241309691,2
gbif.org/species/3395819,gbif.org/species/3395819,Ramalina bogotensis,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Ramalina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,bogotensis,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ramalina bogotensis | Nuevo taxón incluido,es,CR,4.353641800870532,1.805034200324709,1.02742900875455,2
